8|65
1|36
51|66
63|31
57|47
15|84
52|42
78|95
63|28
99|28
93|62
37|85
37|94
19|28
51|76
82|37
50|91
64|22
89|87
74|84
36|58
70|10
82|76
76|66
30|52
41|56
73|34
98|15
63|87
17|68
6|57
67|16
87|36
8|61
1|97
95|39
70|19
64|29
8|97
3|47
90|84
96|41
30|76
15|59
56|44
99|45
43|4
60|80
24|64
76|47
29|29
59|93
90|98
48|87
74|12
41|24
65|3
52|13
60|24
23|60
7|90
63|93
58|21
42|49
89|81
27|51
87|71
19|94
32|51
56|12
84|29
76|98
51|91
73|15
52|85
28|19
95|85
48|72
21|2
45|95
75|32
15|49
86|22
41|30
14|92
39|76
90|50
7|66
27|26
71|83
86|46
16|65
10|79
61|57
25|86
51|34
14|97
10|29
45|40
48|86
